Question,Answer
"Hi, how are you doing?",I'm fine. How about yourself?
I'm fine. How about yourself?,I'm pretty good. Thanks for asking.
I'm pretty good. Thanks for asking.,No problem. So how have you been?
No problem. So how have you been?,I've been great. What about you?
I've been great. What about you?,I've been good. I'm in school right now.
I've been good. I'm in school right now.,What school do you go to?
What school do you go to?,I go to PCC.
I go to PCC.,Do you like it there?
Do you like it there?,It's okay. It's a really big campus.
It's okay. It's a really big campus.,Good luck with school.
Good luck with school.,Thank you very much.
How's it going?,I'm doing well. How about you?
I'm doing well. How about you?,"Never better, thanks."
"Never better, thanks.",So how have you been lately?
So how have you been lately?,I've actually been pretty good. You?
I've actually been pretty good. You?,I'm actually in school right now.
I'm actually in school right now.,Which school do you attend?
Which school do you attend?,I'm attending PCC right now.
I'm attending PCC right now.,Are you enjoying it there?
Are you enjoying it there?,It's not bad. There are a lot of people there.
It's not bad. There are a lot of people there.,Good luck with that.
Good luck with that.,Thanks.
How are you doing today?,I'm doing great. What about you?
I'm doing great. What about you?,"I'm absolutely lovely, thank you."
"I'm absolutely lovely, thank you.",Everything's been good with you?
Everything's been good with you?,I haven't been better. How about yourself?
I haven't been better. How about yourself?,I started school recently.
I started school recently.,Where are you going to school?
Where are you going to school?,I'm going to PCC.
I'm going to PCC.,How do you like it so far?
How do you like it so far?,I like it so far. My classes are pretty good right now.
I like it so far. My classes are pretty good right now.,I wish you luck.
It's an ugly day today.,I know. I think it may rain.
I know. I think it may rain.,"It's the middle of summer, it shouldn't rain today."
"It's the middle of summer, it shouldn't rain today.",That would be weird.
That would be weird.,"Yeah, especially since it's ninety degrees outside."
"Yeah, especially since it's ninety degrees outside.","I know, it would be horrible if it rained and it was hot outside."
"I know, it would be horrible if it rained and it was hot outside.","Yes, it would be."
"Yes, it would be.",I really wish it wasn't so hot every day.
I really wish it wasn't so hot every day.,Me too. I can't wait until winter.
Me too. I can't wait until winter.,"I like winter too, but sometimes it gets too cold."
"I like winter too, but sometimes it gets too cold.",I'd rather be cold than hot.
I'd rather be cold than hot.,Me too.
It doesn't look very nice outside today.,You're right. I think it's going to rain later.
